@rel(Composed_Of)
@from(CE_Slot)key|@to(CE_Card)key
10.204.82.181/SM-A|10.204.82.181/SM-A
10.204.90.88/21|10.204.90.88/21
10.204.204.132/SM-B|10.204.204.132/SM-B
10.204.90.88/13|10.204.90.88/13
10.204.90.241/17|10.204.90.241/17
10.204.201.1/15|10.204.201.1/15
10.204.160.100/SM-A|10.204.160.100/SM-A
10.204.83.97/SM-A|10.204.83.97/SM-A
10.204.64.183/SM-A|10.204.64.183/SM-A
10.204.90.162/SM-B|10.204.90.162/SM-B
10.204.8.87/SM-A|10.204.8.87/SM-A
10.204.90.88/SM-B|10.204.90.88/SM-B
10.204.90.88/1|10.204.90.88/1
192.168.113.245/1|192.168.113.245/1
10.204.132.76/SM-A|10.204.132.76/SM-A
10.204.64.183/SM-B|10.204.64.183/SM-B
10.204.201.16/13|10.204.201.16/13
10.01.01.101/1|10.01.01.101/1
192.168.113.180/1|192.168.113.180/1
10.204.90.217/1|10.204.90.217/1
10.204.132.77/SM-A|10.204.132.77/SM-A
10.204.82.199/SM-B|10.204.82.199/SM-B
10.204.200.111/7|10.204.200.111/7
192.168.113.180/SM-B|192.168.113.180/SM-B
10.204.8.69/SM-A|10.204.8.69/SM-A
10.204.176.65/13|10.204.176.65/13
10.204.82.199/SM-A|10.204.82.199/SM-A
10.204.9.163/1|10.204.9.163/1
10.204.160.95/SM-A|10.204.160.95/SM-A
10.204.114.202/SM-A|10.204.114.202/SM-A
10.204.134.194/SM-A|10.204.134.194/SM-A
10.204.114.198/SM-A|10.204.114.198/SM-A
10.204.65.137/SM-B|10.204.65.137/SM-B
12.09.191.0/15|12.09.191.0/15
10.204.132.86/SM-A|10.204.132.86/SM-A
10.204.204.132/SM-A|10.204.204.132/SM-A
10.204.65.139/SM-A|10.204.65.139/SM-A
10.204.160.113/SM-A|10.204.160.113/SM-A
10.204.12.151/SM-A|10.204.12.151/SM-A
192.168.113.180/SM-A|192.168.113.180/SM-A
10.204.114.198/SM-B|10.204.114.198/SM-B
10.204.132.153/SM-B|10.204.132.153/SM-B
10.204.200.111/SM-A|10.204.200.111/SM-A
10.204.64.180/SM-A|10.204.64.180/SM-A
10.204.64.168/SM-B|10.204.64.168/SM-B
192.168.113.200/SM-B|192.168.113.200/SM-B
10.204.144.92/SM-A|10.204.144.92/SM-A
150.234.53.245/SM-A|150.234.53.245/SM-A
10.204.90.88/SM-A|10.204.90.88/SM-A
10.204.144.193/SM-B|10.204.144.193/SM-B
10.204.65.139/SM-B|10.204.65.139/SM-B
192.168.113.200/20|192.168.113.200/20
10.204.134.194/SM-B|10.204.134.194/SM-B
10.204.64.166/SM-A|10.204.64.166/SM-A
10.204.132.76/SM-B|10.204.132.76/SM-B
10.204.83.217/SM-B|10.204.83.217/SM-B
10.204.176.67/SM-A|10.204.176.67/SM-A
10.19.144.232/SM-A|10.19.144.232/SM-A
10.204.83.97/SM-B|10.204.83.97/SM-B
10.204.144.222/SM-A|10.204.144.222/SM-A
10.204.114.202/SM-B|10.204.114.202/SM-B
10.200.1.30/SM-A|10.200.1.30/SM-A
10.204.200.161/SM-B|10.204.200.161/SM-B
150.234.53.245/1|150.234.53.245/1
10.204.132.190/SM-A|10.204.132.190/SM-A
10.204.64.180/SM-B|10.204.64.180/SM-B
150.234.53.245/SM-B|150.234.53.245/SM-B
10.204.90.217/SM-A|10.204.90.217/SM-A
10.204.132.128/SM-B|10.204.132.128/SM-B
10.204.160.124/SM-A|10.204.160.124/SM-A
10.204.29.124/21|10.204.29.124/21
10.204.144.92/SM-B|10.204.144.92/SM-B
10.204.82.181/SM-B|10.204.82.181/SM-B
10.204.183.95/17|10.204.183.95/17
10.204.132.171/SM-B|10.204.132.171/SM-B
10.204.200.111/SM-B|10.204.200.111/SM-B
192.168.113.180/21|192.168.113.180/21
10.204.83.97/20|10.204.83.97/20
10.204.176.65/SM-A|10.204.176.65/SM-A
10.204.156.70/SM-A|10.204.156.70/SM-A
192.168.113.230/SM-B|192.168.113.230/SM-B
10.204.161.40/SM-B|10.204.161.40/SM-B
10.204.12.150/SM-A|10.204.12.150/SM-A
1.2.3.5/SM-A|1.2.3.5/SM-A
192.168.113.230/SM-A|192.168.113.230/SM-A
10.204.8.87/SM-B|10.204.8.87/SM-B
192.168.113.200/21|192.168.113.200/21
10.204.160.81/SM-A|10.204.160.81/SM-A
10.204.144.68/SM-B|10.204.144.68/SM-B
10.204.200.72/SM-A|10.204.200.72/SM-A
10.204.10.149/SM-A|10.204.10.149/SM-A
10.204.90.163/SM-B|10.204.90.163/SM-B
10.204.10.149/1|10.204.10.149/1
10.204.64.168/SM-A|10.204.64.168/SM-A
10.204.200.111/13|10.204.200.111/13
192.168.113.230/21|192.168.113.230/21
10.204.82.188/SM-B|10.204.82.188/SM-B
10.204.200.72/SM-B|10.204.200.72/SM-B
10.204.83.217/SM-A|10.204.83.217/SM-A
10.204.64.154/SM-A|10.204.64.154/SM-A
10.204.200.196/1|10.204.200.196/1
10.204.90.88/3|10.204.90.88/3
10.204.4.70/13|10.204.4.70/13
192.168.113.200/22|192.168.113.200/22
12.09.191.0/1|12.09.191.0/1
192.168.113.245/15|192.168.113.245/15
10.204.9.163/SM-A|10.204.9.163/SM-A
10.204.176.67/SM-B|10.204.176.67/SM-B
10.204.160.117/SM-A|10.204.160.117/SM-A
10.204.90.217/SM-B|10.204.90.217/SM-B
